departure_city,arrival_city,departure_station,arrival_station,travel_time,departure_coordinates,arrival_coordinates
Caudry,Cambrai,Caudry,Cambrai,12,"50.1116760,3.40933400","50.1765820,3.24119700"
Saint-Quentin,Tergnier,Saint-Quentin,Tergnier,11,"49.8405860,3.29770400","49.6597030,3.29746700"
Tergnier,Chauny,Tergnier,Chauny,6,"49.6597030,3.29746700","49.6111650,3.22348400"
Chauny,Noyon,Chauny,Noyon,9,"49.6111650,3.22348400","49.5776560,3.00747000"
Noyon,Compiègne,Noyon,Compiègne,12,"49.5776560,3.00747000","49.4219420,2.82364800"
Compiègne,Pont-Sainte-Maxence,Compiègne,Pont-Sainte-Maxence,11,"49.4219420,2.82364800","49.3097360,2.60289300"
Pont-Sainte-Maxence,Creil,Pont-Sainte-Maxence,Creil,8,"49.3097360,2.60289300","49.2646160,2.47081900"
Saint-Quentin,Le Cateau-Cambrésis,Saint-Quentin,Le Cateau,18,"49.8405860,3.29770400","50.0917430,3.54016500"
Le Cateau-Cambrésis,Aulnoye-Aymeries,Le Cateau,Aulnoye-Aymeries,12,"50.0917430,3.54016500","50.1977520,3.84343400"
Aulnoye-Aymeries,Le Cateau-Cambrésis,Aulnoye-Aymeries,Le Cateau,13,"50.1977520,3.84343400","50.0917430,3.54016500"
Le Cateau-Cambrésis,Saint-Quentin,Le Cateau,Saint-Quentin,17,"50.0917430,3.54016500","49.8405860,3.29770400"
Argentan,Le Château-d'Almenêches,Argentan,Surdon,9,"48.7385450,-0.0252910","48.6647690,0.13441000"
Le Château-d'Almenêches,L'Aigle,Surdon,L'Aigle,24,"48.6647690,0.13441000","48.7662290,0.62001400"
L'Aigle,Verneuil d'Avre et d'Iton,L'Aigle,Verneuil-sur-Avre,15,"48.7662290,0.62001400","48.7424860,0.92919200"
Verneuil d'Avre et d'Iton,Nonancourt,Verneuil-sur-Avre,Nonancourt,12,"48.7424860,0.92919200","48.7757600,1.19283700"
Nonancourt,Dreux,Nonancourt,Dreux,10,"48.7757600,1.19283700","48.7314920,1.37016400"
Dreux,Paris,Dreux,Paris Montparnasse Vaugirard,50,"48.7314920,1.37016400","48.8411720,2.32051400"
Le Château-d'Almenêches,Sainte-Gauburge-Sainte-Colombe,Surdon,Sainte-Gauburge,16,"48.6647690,0.13441000","48.7172820,0.42816400"
Sainte-Gauburge-Sainte-Colombe,L'Aigle,Sainte-Gauburge,L'Aigle,10,"48.7172820,0.42816400","48.7662290,0.62001400"
Dreux,Paris,Dreux,Paris Montparnasse Hall 1 - 2,47,"48.7314920,1.37016400","48.8411720,2.32051400"
Paris,Dreux,Paris Montparnasse Hall 1 - 2,Dreux,46,"48.8411720,2.32051400","48.7314920,1.37016400"
Dreux,Nonancourt,Dreux,Nonancourt,9,"48.7314920,1.37016400","48.7757600,1.19283700"
Nonancourt,Verneuil d'Avre et d'Iton,Nonancourt,Verneuil-sur-Avre,13,"48.7757600,1.19283700","48.7424860,0.92919200"
Verneuil d'Avre et d'Iton,L'Aigle,Verneuil-sur-Avre,L'Aigle,15,"48.7424860,0.92919200","48.7662290,0.62001400"
L'Aigle,Sainte-Gauburge-Sainte-Colombe,L'Aigle,Sainte-Gauburge,12,"48.7662290,0.62001400","48.7172820,0.42816400"
Sainte-Gauburge-Sainte-Colombe,Le Château-d'Almenêches,Sainte-Gauburge,Surdon,16,"48.7172820,0.42816400","48.6647690,0.13441000"
Le Château-d'Almenêches,Argentan,Surdon,Argentan,11,"48.6647690,0.13441000","48.7385450,-0.0252910"
Le Mans,Beillé,Le Mans,Connerré - Beillé,12,"47.9956150,0.19261400","48.0737100,0.48689600"
Beillé,La Ferté-Bernard,Connerré - Beillé,La Ferté-Bernard,9,"48.0737100,0.48689600","48.1865270,0.63938000"
La Ferté-Bernard,Nogent-le-Rotrou,La Ferté-Bernard,Nogent-le-Rotrou,12,"48.1865270,0.63938000","48.3257650,0.81031300"
Nogent-le-Rotrou,La Loupe,Nogent-le-Rotrou,La Loupe,14,"48.3257650,0.81031300","48.4738280,1.01089800"
La Loupe,Courville-sur-Eure,La Loupe,Courville-sur-Eure,9,"48.4738280,1.01089800","48.4513360,1.23490200"
Courville-sur-Eure,Chartres,Courville-sur-Eure,Chartres,11,"48.4513360,1.23490200","48.4482020,1.48131300"
Chartres,Maintenon,Chartres,Maintenon,10,"48.4482020,1.48131300","48.5854790,1.59206500"
Maintenon,Épernon,Maintenon,Épernon,5,"48.5854790,1.59206500","48.6052040,1.68136400"
Épernon,Rambouillet,Épernon,Rambouillet,8,"48.6052040,1.68136400","48.6437700,1.83154000"
Rambouillet,Versailles,Rambouillet,Versailles Chantiers,20,"48.6437700,1.83154000","48.7958260,2.13588300"
Versailles,Paris,Versailles Chantiers,Paris Montparnasse Hall 1 - 2,12,"48.7958260,2.13588300","48.8411720,2.32051400"
Chartres,Versailles,Chartres,Versailles Chantiers,43,"48.4482020,1.48131300","48.7958260,2.13588300"
Paris,Versailles,Paris Montparnasse Hall 1 - 2,Versailles Chantiers,11,"48.8411720,2.32051400","48.7958260,2.13588300"
Versailles,Rambouillet,Versailles Chantiers,Rambouillet,18,"48.7958260,2.13588300","48.6437700,1.83154000"
Rambouillet,Épernon,Rambouillet,Épernon,8,"48.6437700,1.83154000","48.6052040,1.68136400"
Épernon,Maintenon,Épernon,Maintenon,6,"48.6052040,1.68136400","48.5854790,1.59206500"
Maintenon,Chartres,Maintenon,Chartres,12,"48.5854790,1.59206500","48.4482020,1.48131300"
Chartres,Courville-sur-Eure,Chartres,Courville-sur-Eure,10,"48.4482020,1.48131300","48.4513360,1.23490200"
Courville-sur-Eure,La Loupe,Courville-sur-Eure,La Loupe,9,"48.4513360,1.23490200","48.4738280,1.01089800"
La Loupe,Nogent-le-Rotrou,La Loupe,Nogent-le-Rotrou,13,"48.4738280,1.01089800","48.3257650,0.81031300"
Nogent-le-Rotrou,La Ferté-Bernard,Nogent-le-Rotrou,La Ferté-Bernard,11,"48.3257650,0.81031300","48.1865270,0.63938000"
La Ferté-Bernard,Beillé,La Ferté-Bernard,Connerré - Beillé,10,"48.1865270,0.63938000","48.0737100,0.48689600"
Beillé,Le Mans,Connerré - Beillé,Le Mans,13,"48.0737100,0.48689600","47.9956150,0.19261400"
Le Mans,Nogent-le-Rotrou,Le Mans,Nogent-le-Rotrou,30,"47.9956150,0.19261400","48.3257650,0.81031300"
Versailles,Épernon,Versailles Chantiers,Épernon,23,"48.7958260,2.13588300","48.6052040,1.68136400"
Nogent-le-Rotrou,Val-au-Perche,Nogent-le-Rotrou,Le Theil - La Rouge,8,"48.3257650,0.81031300","48.2672910,0.69437600"
Val-au-Perche,La Ferté-Bernard,Le Theil - La Rouge,La Ferté-Bernard,7,"48.2672910,0.69437600","48.1865270,0.63938000"
